Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Account, female (% age 15+)",account.t.d.1,Arab World,ARB,2021,31.26,
"Account, female (% age 15+)",account.t.d.1,Arab World,ARB,2017,25.68,
"Account, female (% age 15+)",account.t.d.1,Arab World,ARB,2014,22.22,
"Account, female (% age 15+)",account.t.d.1,Arab World,ARB,2011,13.93,
"Account, female (% age 15+)",account.t.d.1,East Asia & Pacific,EAS,2021,81.38,
"Account, female (% age 15+)",account.t.d.1,East Asia & Pacific,EAS,2017,71.17,
"Account, female (% age 15+)",account.t.d.1,East Asia & Pacific,EAS,2014,70.24,
"Account, female (% age 15+)",account.t.d.1,East Asia & Pacific,EAS,2011,57.5,
"Account, female (% age 15+)",account.t.d.1,East Asia & Pacific (excluding high income),EAP,2021,78.97,
"Account, female (% age 15+)",account.t.d.1,East Asia & Pacific (excluding high income),EAP,2017,67.73,
"Account, female (% age 15+)",account.t.d.1,East Asia & Pacific (excluding high income),EAP,2014,66.97,
"Account, female (% age 15+)",account.t.d.1,East Asia & Pacific (excluding high income),EAP,2011,52.18,
"Account, female (% age 15+)",account.t.d.1,Euro area,EMU,2021,98.31,
"Account, female (% age 15+)",account.t.d.1,Euro area,EMU,2017,94,
"Account, female (% age 15+)",account.t.d.1,Euro area,EMU,2014,93.84,
"Account, female (% age 15+)",account.t.d.1,Euro area,EMU,2011,88.75,
"Account, female (% age 15+)",account.t.d.1,Europe & Central Asia,ECS,2021,88.02,
"Account, female (% age 15+)",account.t.d.1,Europe & Central Asia,ECS,2017,79.43,
"Account, female (% age 15+)",account.t.d.1,Europe & Central Asia,ECS,2014,76.2,
"Account, female (% age 15+)",account.t.d.1,Europe & Central Asia,ECS,2011,66.45,
"Account, female (% age 15+)",account.t.d.1,Europe & Central Asia (excluding high income),ECA,2021,74.86,
"Account, female (% age 15+)",account.t.d.1,Europe & Central Asia (excluding high income),ECA,2017,62.32,
"Account, female (% age 15+)",account.t.d.1,Europe & Central Asia (excluding high income),ECA,2014,56.27,
"Account, female (% age 15+)",account.t.d.1,Europe & Central Asia (excluding high income),ECA,2011,39.75,
"Account, female (% age 15+)",account.t.d.1,High income,HIC,2021,96.72,
"Account, female (% age 15+)",account.t.d.1,High income,HIC,2017,92.88,
"Account, female (% age 15+)",account.t.d.1,High income,HIC,2014,92.41,
"Account, female (% age 15+)",account.t.d.1,High income,HIC,2011,86.2,
"Account, female (% age 15+)",account.t.d.1,Latin America & Caribbean,LCN,2021,70.14,
"Account, female (% age 15+)",account.t.d.1,Latin America & Caribbean,LCN,2017,52.13,
"Account, female (% age 15+)",account.t.d.1,Latin America & Caribbean,LCN,2014,49.19,
"Account, female (% age 15+)",account.t.d.1,Latin America & Caribbean,LCN,2011,35.11,
"Account, female (% age 15+)",account.t.d.1,Latin America & Caribbean (excluding high income),LAC,2021,69.32,
"Account, female (% age 15+)",account.t.d.1,Latin America & Caribbean (excluding high income),LAC,2017,51.38,
"Account, female (% age 15+)",account.t.d.1,Latin America & Caribbean (excluding high income),LAC,2014,48.78,
"Account, female (% age 15+)",account.t.d.1,Latin America & Caribbean (excluding high income),LAC,2011,34.91,
"Account, female (% age 15+)",account.t.d.1,LMY,LMY,2021,68.47,
"Account, female (% age 15+)",account.t.d.1,LMY,LMY,2017,58.64,
"Account, female (% age 15+)",account.t.d.1,LMY,LMY,2014,50.66,
"Account, female (% age 15+)",account.t.d.1,LMY,LMY,2011,36.92,
"Account, female (% age 15+)",account.t.d.1,Low income,LIC,2021,34.5,
"Account, female (% age 15+)",account.t.d.1,Low income,LIC,2017,26.33,
"Account, female (% age 15+)",account.t.d.1,Low income,LIC,2014,15.32,
"Account, female (% age 15+)",account.t.d.1,Low income,LIC,2011,7.59,
"Account, female (% age 15+)",account.t.d.1,Lower middle income,LMC,2021,59.23,
"Account, female (% age 15+)",account.t.d.1,Lower middle income,LMC,2017,53.42,
"Account, female (% age 15+)",account.t.d.1,Lower middle income,LMC,2014,37.47,
"Account, female (% age 15+)",account.t.d.1,Lower middle income,LMC,2011,24.74,
"Account, female (% age 15+)",account.t.d.1,Middle East & North Africa,MEA,2021,45.55,
"Account, female (% age 15+)",account.t.d.1,Middle East & North Africa,MEA,2017,37.99,
"Account, female (% age 15+)",account.t.d.1,Middle East & North Africa,MEA,2011,28.35,
"Account, female (% age 15+)",account.t.d.1,Middle East & North Africa (excluding high income),MNA,2021,41.69,
"Account, female (% age 15+)",account.t.d.1,Middle East & North Africa (excluding high income),MNA,2017,34.91,
"Account, female (% age 15+)",account.t.d.1,Middle East & North Africa (excluding high income),MNA,2011,25.59,
"Account, female (% age 15+)",account.t.d.1,MIC,MIC,2021,69.57,
"Account, female (% age 15+)",account.t.d.1,MIC,MIC,2017,60.59,
"Account, female (% age 15+)",account.t.d.1,MIC,MIC,2014,52.88,
"Account, female (% age 15+)",account.t.d.1,MIC,MIC,2011,38.46,
"Account, female (% age 15+)",account.t.d.1,North America,NAC,2021,97.08,
"Account, female (% age 15+)",account.t.d.1,North America,NAC,2017,93.44,
"Account, female (% age 15+)",account.t.d.1,North America,NAC,2014,95.27,
