Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Arab World,ARB,2021,24.05,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Arab World,ARB,2017,16.33,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Arab World,ARB,2014,13.46,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,East Asia & Pacific,EAS,2021,76.83,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,East Asia & Pacific,EAS,2017,59.03,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,East Asia & Pacific,EAS,2014,46.46,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,East Asia & Pacific (excluding high income),EAP,2021,74.21,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,East Asia & Pacific (excluding high income),EAP,2017,54.48,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,East Asia & Pacific (excluding high income),EAP,2014,40.89,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Euro area,EMU,2021,97.01,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Euro area,EMU,2017,90.97,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Euro area,EMU,2014,86.36,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Europe & Central Asia,ECS,2021,85.45,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Europe & Central Asia,ECS,2017,75.65,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Europe & Central Asia,ECS,2014,68.49,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Europe & Central Asia (excluding high income),ECA,2021,70.73,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Europe & Central Asia (excluding high income),ECA,2017,57.39,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Europe & Central Asia (excluding high income),ECA,2014,47.5,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,High income,HIC,2021,95,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,High income,HIC,2017,89.67,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,High income,HIC,2014,87.1,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Latin America & Caribbean,LCN,2021,61.78,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Latin America & Caribbean,LCN,2017,43.39,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Latin America & Caribbean,LCN,2014,40.49,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Latin America & Caribbean (excluding high income),LAC,2021,60.66,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Latin America & Caribbean (excluding high income),LAC,2017,42.68,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Latin America & Caribbean (excluding high income),LAC,2014,40.08,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,LMY,LMY,2021,52.24,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,LMY,LMY,2017,39.22,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,LMY,LMY,2014,31,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Low income,LIC,2021,31.22,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Low income,LIC,2017,17.84,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Low income,LIC,2014,10.05,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Lower middle income,LMC,2021,32.33,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Lower middle income,LMC,2017,25.35,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Lower middle income,LMC,2014,18.77,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Middle East & North Africa,MEA,2021,38.26,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Middle East & North Africa,MEA,2017,29.11,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Middle East & North Africa (excluding high income),MNA,2021,33.71,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Middle East & North Africa (excluding high income),MNA,2017,26.31,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,MIC,MIC,2021,52.92,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,MIC,MIC,2017,40.51,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,MIC,MIC,2014,32.31,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,North America,NAC,2021,95.98,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,North America,NAC,2017,91.52,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,North America,NAC,2014,94.15,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,OECD members,OED,2021,96.22,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,OECD members,OED,2017,91.27,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,OECD members,OED,2014,88.85,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,South Asia,SAS,2021,26.48,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,South Asia,SAS,2017,20.46,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,South Asia,SAS,2014,12.1,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Sub-Saharan Africa,SSF,2021,43.57,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Sub-Saharan Africa,SSF,2017,29.51,
"Made or received a digital payment, female (% age 15+)",g20.t.d.1,Sub-Saharan Africa,SSF,2014,24.04,
