Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Arab World,ARB,2017,2.94,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,East Asia & Pacific,EAS,2017,30.83,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,East Asia & Pacific (excluding high income),EAP,2017,29.37,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Euro area,EMU,2017,42.02,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Europe & Central Asia,ECS,2017,34.15,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Europe & Central Asia (excluding high income),ECA,2017,22.09,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,High income,HIC,2017,49.12,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Latin America & Caribbean,LCN,2017,10.01,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Latin America & Caribbean (excluding high income),LAC,2017,9.47,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,LMY,LMY,2017,17.07,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Low income,LIC,2017,11.58,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Lower middle income,LMC,2017,7.64,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Middle East & North Africa,MEA,2017,9.34,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Middle East & North Africa (excluding high income),MNA,2017,7.83,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,MIC,MIC,2017,17.4,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,North America,NAC,2017,66.77,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,OECD members,OED,2017,50.61,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,South Asia,SAS,2017,4.17,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Sub-Saharan Africa,SSF,2017,17.97,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Sub-Saharan Africa (excluding high income),SSA,2017,17.97,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Upper middle income,UMC,2017,28.36,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,World,WLD,2017,22.87,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Afghanistan,AFG,2017,0.88,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Albania,ALB,2017,3.7,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Algeria,DZA,2017,1.22,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Argentina,ARG,2017,7.6,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Armenia,ARM,2017,6.92,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Australia,AUS,2017,68.14,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Austria,AUT,2017,48.39,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Azerbaijan,AZE,2017,1.43,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Bahrain,BHR,2017,23.41,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Bangladesh,BGD,2017,11.53,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Belarus,BLR,2017,34.11,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Belgium,BEL,2017,60.81,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Benin,BEN,2017,12.52,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Bolivia,BOL,2017,6.25,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Bosnia and Herzegovina,BIH,2017,5.39,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Botswana,BWA,2017,19.63,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Brazil,BRA,2017,11.99,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Bulgaria,BGR,2017,10.87,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Burkina Faso,BFA,2017,20.33,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Cambodia,KHM,2017,5.46,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Cameroon,CMR,2017,12.95,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Canada,CAN,2017,67.78,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Central African Republic,CAF,2017,1.13,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Chad,TCD,2017,8.68,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Chile,CHL,2017,24.87,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,China,CHN,2017,37.61,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Colombia,COL,2017,6.87,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,"Congo, Dem. Rep.",COD,2017,15.54,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,"Congo, Rep.",COG,2017,2.92,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Costa Rica,CRI,2017,13.05,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Cote d'Ivoire,CIV,2017,28.2,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Croatia,HRV,2017,28.32,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Cyprus,CYP,2017,33.12,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Czechia,CZE,2017,46.05,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Denmark,DNK,2017,80.47,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Dominican Republic,DOM,2017,6.31,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Ecuador,ECU,2017,4.11,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,"Egypt, Arab Rep.",EGY,2017,1.22,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,El Salvador,SLV,2017,3.98,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Estonia,EST,2017,70.28,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Ethiopia,ETH,2017,0.31,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Finland,FIN,2017,76.26,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,France,FRA,2017,45.95,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Gabon,GAB,2017,40.91,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,"Gambia, The",GMB,2017,2.57,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Georgia,GEO,2017,8.02,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Germany,DEU,2017,62.84,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Ghana,GHA,2017,31.59,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Greece,GRC,2017,14.79,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Guatemala,GTM,2017,3.87,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Guinea,GIN,2017,8.42,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Haiti,HTI,2017,14.46,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Honduras,HND,2017,4.16,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,"Hong Kong SAR, China",HKG,2017,36.16,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Hungary,HUN,2017,25.3,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,India,IND,2017,3.75,
"Used a mobile phone or the internet to access an account, female (% age 15+)",fin5.2017.d.1,Indonesia,IDN,2017,8.3,
