Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Arab World,ARB,2021,15.13,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Arab World,ARB,2017,4.37,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,East Asia & Pacific,EAS,2021,66.94,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,East Asia & Pacific,EAS,2017,38.17,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,East Asia & Pacific (excluding high income),EAP,2021,67.88,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,East Asia & Pacific (excluding high income),EAP,2017,36.35,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Euro area,EMU,2021,58.26,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Euro area,EMU,2017,54.53,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Europe & Central Asia,ECS,2021,48.11,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Europe & Central Asia,ECS,2017,38.92,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Europe & Central Asia (excluding high income),ECA,2021,32.35,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Europe & Central Asia (excluding high income),ECA,2017,18.68,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,High income,HIC,2021,64.68,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,High income,HIC,2017,57.17,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Latin America & Caribbean,LCN,2021,21.52,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Latin America & Caribbean,LCN,2017,8.63,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Latin America & Caribbean (excluding high income),LAC,2021,20.31,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Latin America & Caribbean (excluding high income),LAC,2017,8.17,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,LMY,LMY,2021,31.75,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,LMY,LMY,2017,16.68,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Low income,LIC,2021,3,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Low income,LIC,2017,0.95,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Lower middle income,LMC,2021,8.84,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Lower middle income,LMC,2017,4.46,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Middle East & North Africa,MEA,2021,19.04,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Middle East & North Africa,MEA,2017,7.88,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Middle East & North Africa (excluding high income),MNA,2021,14,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Middle East & North Africa (excluding high income),MNA,2017,5.9,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,MIC,MIC,2021,32.68,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,MIC,MIC,2017,17.63,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,North America,NAC,2021,76.76,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,North America,NAC,2017,69.67,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,OECD members,OED,2021,65.42,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,OECD members,OED,2017,58.77,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,South Asia,SAS,2021,4.32,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,South Asia,SAS,2017,1.71,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Sub-Saharan Africa,SSF,2021,5.47,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Sub-Saharan Africa,SSF,2017,2.49,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Sub-Saharan Africa (excluding high income),SSA,2021,5.47,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Sub-Saharan Africa (excluding high income),SSA,2017,2.49,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Upper middle income,UMC,2021,61.93,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Upper middle income,UMC,2017,32.43,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,World,WLD,2021,38.07,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,World,WLD,2017,23.95,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Afghanistan,AFG,2021,0,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Afghanistan,AFG,2017,0.06,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Albania,ALB,2021,19.31,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Albania,ALB,2017,5.41,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Algeria,DZA,2021,9.23,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Algeria,DZA,2017,1.67,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Argentina,ARG,2021,25.53,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Argentina,ARG,2017,11.23,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Armenia,ARM,2021,13.7,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Armenia,ARM,2017,6.98,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Australia,AUS,2021,79.55,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Australia,AUS,2017,67.47,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Austria,AUT,2021,63.79,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Austria,AUT,2017,40.24,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Azerbaijan,AZE,2017,5.26,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Bahrain,BHR,2017,27.52,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Bangladesh,BGD,2021,2.44,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Bangladesh,BGD,2017,1.62,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Belarus,BLR,2017,28.4,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Belgium,BEL,2021,65.99,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Belgium,BEL,2017,51.53,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Benin,BEN,2021,2.57,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Benin,BEN,2017,1.76,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Bolivia,BOL,2021,7.87,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Bolivia,BOL,2017,3.59,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Bosnia and Herzegovina,BIH,2021,24.52,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Bosnia and Herzegovina,BIH,2017,12.02,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Botswana,BWA,2017,2.28,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Brazil,BRA,2021,28.05,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Brazil,BRA,2017,11.25,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Bulgaria,BGR,2021,33.51,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Bulgaria,BGR,2017,22.56,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Burkina Faso,BFA,2021,2.26,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Burkina Faso,BFA,2017,1.36,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Cambodia,KHM,2021,4.73,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Cambodia,KHM,2017,4.17,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Cameroon,CMR,2021,5.18,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Cameroon,CMR,2017,2.06,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Canada,CAN,2021,69.16,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Canada,CAN,2017,65.38,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Central African Republic,CAF,2017,1.6,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Chad,TCD,2017,0.71,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Chile,CHL,2021,45.57,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Chile,CHL,2017,19.4,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,China,CHN,2021,83.54,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,China,CHN,2017,45.76,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Colombia,COL,2021,11.21,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Colombia,COL,2017,5.76,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,"Congo, Dem. Rep.",COD,2017,1.34,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,"Congo, Rep.",COG,2021,4.8,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,"Congo, Rep.",COG,2017,1.64,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Costa Rica,CRI,2021,17.63,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Costa Rica,CRI,2017,12.83,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Cote d'Ivoire,CIV,2021,4.18,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Cote d'Ivoire,CIV,2017,1.91,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Croatia,HRV,2021,39.83,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Croatia,HRV,2017,25.95,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Cyprus,CYP,2021,45.47,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Cyprus,CYP,2017,32.09,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Czechia,CZE,2021,70.36,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Czechia,CZE,2017,49.33,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Denmark,DNK,2021,88.91,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Denmark,DNK,2017,74.53,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Dominican Republic,DOM,2021,5.87,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Dominican Republic,DOM,2017,5.59,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Ecuador,ECU,2021,8.42,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Ecuador,ECU,2017,2.76,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,"Egypt, Arab Rep.",EGY,2021,3.65,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,"Egypt, Arab Rep.",EGY,2017,1.82,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,El Salvador,SLV,2021,5.42,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,El Salvador,SLV,2017,1.98,
"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b.t.d.1,Estonia,EST,2021,68.79,
