Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Arab World,ARB,2021,8.13,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Arab World,ARB,2017,3.24,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,East Asia & Pacific,EAS,2021,46.85,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,East Asia & Pacific,EAS,2017,28.1,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,East Asia & Pacific (excluding high income),EAP,2021,47.24,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,East Asia & Pacific (excluding high income),EAP,2017,27.33,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Euro area,EMU,2021,51.04,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Euro area,EMU,2017,45.76,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Europe & Central Asia,ECS,2021,47.77,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Europe & Central Asia,ECS,2017,38.03,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Europe & Central Asia (excluding high income),ECA,2021,39.43,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Europe & Central Asia (excluding high income),ECA,2017,24.69,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,High income,HIC,2021,55.33,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,High income,HIC,2017,48.64,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Latin America & Caribbean,LCN,2021,27.64,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Latin America & Caribbean,LCN,2017,9.21,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Latin America & Caribbean (excluding high income),LAC,2021,26.53,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Latin America & Caribbean (excluding high income),LAC,2017,8.79,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,LMY,LMY,2021,26.11,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,LMY,LMY,2017,14.2,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Low income,LIC,2021,9.05,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Low income,LIC,2017,2.01,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Lower middle income,LMC,2021,8.43,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Lower middle income,LMC,2017,3.98,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Middle East & North Africa,MEA,2021,13.5,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Middle East & North Africa,MEA,2017,9.1,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Middle East & North Africa (excluding high income),MNA,2021,9.33,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Middle East & North Africa (excluding high income),MNA,2017,7.51,
